,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Samuel Abifade,de GER,MFFW,Meppen,23-108,1999,15,12,1006,11.2,3,0,3,0,0,3,0,0.27,0.00,0.27,0.27,0.27,Matches,7bd1ae6a
2,Daniel Adamczyk,de GER,GK,Osnabrück,20-173,2002,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5dbba7fe
3,Ayodele Adetula,de GER,FW,VfB Oldenburg,24-328,1998,8,2,295,3.3,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches,15794cce
4,Prince Adu-Addae Aning,nl NED,MF,Dortmund II,18-255,2004,7,2,294,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6d0b05f5
5,Marvin Ajani,de GER,MF,MSV Duisburg,29-091,1993,17,17,1261,14.0,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,a556819f
6,Cyrill Akono,de GER,FW,Verl,22-308,2000,17,10,980,10.9,5,1,5,0,0,2,0,0.46,0.09,0.55,0.46,0.55,Matches,b112b191
7,Michael Akoto,de GER,MFDF,Dresden,25-299,1997,11,10,857,9.5,0,2,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches,42d7f621
8,Ben Alexander Voll,de GER,GK,Viktoria Köln,22-025,2000,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee8ad906
9,Beyhan Ametov,de GER,MF,Meppen,24-057,1998,2,0,30,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1aabba25
10,Youssef Amyn,de GER,MF,Viktoria Köln,19-135,2003,1,1,78,0.9,1,0,1,0,0,0,0,1.15,0.00,1.15,1.15,1.15,Matches,10c12f22
11,Nicolas Andermatt,ch SUI,MF,SpVgg Bayreuth,27-058,1995,15,10,807,9.0,0,1,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches,a994567b
12,Nico Antonitsch,at AUT,DF,Ingolstadt 04,31-095,1991,3,1,133,1.5,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,05e2f1e4
13,Marcel Appiah,de GER,DF,VfB Oldenburg,34-283,1988,15,15,1350,15.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8e5f2cf3
14,Ahmet Arslan,tr TUR,MFFW,Dresden,28-279,1994,15,15,1171,13.0,8,1,6,2,2,5,0,0.61,0.08,0.69,0.46,0.54,Matches,d63e97c6
15,Raphael Assibey-Mensah,de GER,DF,Zwickau,23-125,1999,7,0,159,1.8,1,0,1,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches,acc04390
16,Noah Atubolu,de GER,GK,SC Freiburg II,20-223,2002,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,dbd1b101
17,Tom Baack,de GER,MF,Verl,23-296,1999,13,11,944,10.5,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches,e7e3b569
18,Kebba Badjie,gm GAM,FWMF,VfB Oldenburg,23-134,1999,16,15,1176,13.1,2,1,2,0,0,1,0,0.15,0.08,0.23,0.15,0.23,Matches,67438212
19,Marvin Bakalorz,de GER,MF,MSV Duisburg,33-112,1989,17,17,1402,15.6,2,0,2,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,04c11885
20,Alaa Bakir,jo JOR,MFFW,MSV Duisburg,21-353,2001,4,4,207,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,Matches,59354c83
21,Markus Ballmert,de GER,DFMF,Meppen,29-037,1993,14,14,1093,12.1,0,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches,3e94b7fb
22,Marcel Bär,de GER,FW,1860 Munich,30-209,1992,5,1,200,2.2,2,0,2,0,0,1,0,0.90,0.00,0.90,0.90,0.90,Matches,a1e9a3b5
23,André Barbosa,ch SUI,DF,SC Freiburg II,22-129,2000,2,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1777d14e
